,year,Direct emissions (N2O),Indirect emissions (N2O),Emissions (N2O),Emissions (CO2eq) from N2O (AR5),Emissions (CO2eq) (AR5),Emissions (CH4),Emissions (CO2eq) from CH4 (AR5),Emissions (CO2)
0,2000,104827.404,29391.3291,464143.3356,122891633.6,1068979795,10681712.6,298853594,627037647.3
1,2001,105714.131,29635.9882,464422.7493,122973024,1052419575,10453109.65,292526242.2,616042616
2,2002,107434.3693,30115.533,474660.3035,125677268.9,1087846197,10698352.56,299369835.9,640350523.4
3,2003,109164.1444,30636.3419,481116.9283,127373419.2,1107869718,10777535.8,301541586.2,654910060.1
4,2004,111896.3109,31425.846,493618.0015,130684258.3,1158121719,11115301.76,310988683.4,690026499.5
5,2005,113019.4634,31736.2026,498896.6994,132092608.3,1171514604,11217108.05,313777494.4,696988925.5
6,2006,114704.1246,32263.5399,504678.1679,133626848.3,1207658045,11307456.5,316416165.7,726884739.6
7,2007,117298.1812,33050.1478,513907.9809,136074605.9,1211590426,11248772.72,314779974.2,728747939.4
8,2008,118289.0614,33267.631,515285.2567,136442464.4,1229021324,11325825.05,316942428,742578731.2
9,2009,119606.7383,33666.4673,508497.0753,134644670.4,1231620340,11418948.12,319562658,743445144
10,2010,121554.8093,34259.4889,503997.3655,133461673.4,1252998169,11648133.01,325869612.3,757747253.4
11,2011,123729.2235,34902.9534,507610.0363,134471007.9,1258881988,11699913.05,327507544.3,760262752.4
12,2012,124676.431,35145.8946,516226.5898,136752182.2,1276287108,11888817.68,332786139.7,768430266.8
13,2013,127288.5606,35858.11,510643.3217,135278419.1,1285112519,11776556.38,329658940.7,780202214.1
14,2014,128946.5032,36254.4898,516108.9165,136724961.7,1306298420,11972803.97,335056388.5,793457212.1
15,2015,129170.2351,36501.5272,521765.8483,138215917.7,1316520899,12135374.91,339694154.9,797418388.4
16,2016,131365.9691,37069.8894,521051.504,138033143.5,1315226201,11919827.57,333665035.5,801553372.1
17,2017,132896.7068,37495.6076,527697.8387,139795373.8,1329644530,11962438.22,334864110.3,811689423.7
18,2018,132825.8524,37523.5039,523169.2715,138593615.7,1353114440,12066935.4,337791833.6,832205958.2
19,2019,134025.2284,37872.6269,527780.3777,139819292.6,1367583299,12239454.17,342628296.9,840199097
20,2020,136597.2049,38637.7645,535823.3173,141993180.1,1320410011,12203258.05,341691225.5,792498841.2
